row_id,source_live_row_sha256,source_incremental_row_sha256,prefix_commitment_equal,live_incremental_suffix_equal,live_replica_suffix_equal,prefill_suffix_equal,prefill_replica_suffix_equal,comparison_objects_equal,cache_live_replica_fingerprint_equal,cache_live_prefill_fingerprint_equal,cache_prefill_replica_fingerprint_equal,logits_live_replica_fingerprint_equal,logits_live_prefill_fingerprint_equal,logits_prefill_replica_fingerprint_equal,cache_common_scalar_leaves_per_section,logit_common_scalar_leaves_per_section,audit_pass
r0000,3c5902c5e403909f24d801458c760d1e603575c0e2bce77444e3c4c777f7364b,9c329688bbaaeea1608a04ab1722c7213bdb3a7c9698d5dfc589eb524b2e751e,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0001,cde77d714b425d298505645aef8ce74a903431184d7b28551cd3bc166d83d175,68b5cec0700590185e7790f822d760e503311cc5b8892a9f4d2d220e443e2c25,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0002,7ea446152dfb268b5d99fc99ed7aa821098d697926ed32838d9effa928f227de,77a1973e255253ea1521651f01258cd7cebb83a3e415efe907a18d823fbd0663,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0003,751b7659d4a7cdd4378b07163e26ae293ede411517263335a83dc69c803bfbfe,787a843ab330dbecb2bc4957bfcfff5a21a6b03f1911c0902cef1ba99f92df8e,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0004,e737ce6dcc201ef2918cf51e9efa162046797f1f4366334b81ced89595ead950,7c4fb8d5bf34103dc0eead0c0b6078b0d43328a0b3d50264daf001d0d391595d,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0005,fe7a48ac4b1afe66d86a511249f804d7ae4f9a11acea9858cf8d1adc16298145,3ffba2804df04452f0dec1cbb14f275359c1f5f9efe5a578196cbacd287c9b4d,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0006,d25bfd94417fc6b0886e9a824035d88131f1e25b9595a7d4722663938175ead8,8543350d6098a0c80a2cf02a5647ad9e71df12223a8f193c22342717aeaf6de7,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0007,f20eda1c4a590a7b0f51e93a1661d612848a2993f3bb251ce4df9f6d11e6e3f0,b1882dda8376088f5da9b8a4b84fc17af8496faf9a0da68e706c6557d6869845,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0008,267d0d2ae7f88af905a0da1bbc6bf5885604a93883311aac31135a69849e7156,4dd6909fdd8a67bd4c6edf02cf0995896408122a0d7c731ce2a6dd3a4e6663a0,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0009,8a4930c29b5326e777724386a12fe4fb47b9952d38993ac50fed00df4fdf89fe,579c9efe0f3323471fd9075169ffd7281f94f0289c023632549eeee87f0f7cfd,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0010,550670e21f2d3b6b313d418add2bb1a953ee8b6fe52a67f84f6a9667ea40cfb3,f64f398a48f9ba07f72a4d2e94c199048d00996c11ffcf004466ef99f1572c16,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0011,c12d7d4f55b82497280e82c04d164622cf3cb01fa8fc5a60fcf2989648c03637,f39de2a6649d2f0ceef8ee3915384be91863b32aba401d4c7c403d16b60830cc,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0012,9d60e7742d48601c262eaf23caf9344b6f418931189d40630cae6cd69d354ea9,3e107491125a91dfd28364e6dcb3b42d03b301ae79740fb00128a2db8854d990,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0013,0c96f1321cfe4e4340c694cdd5c48b4a47e167958d085997b685dbe36f775c41,53ee3bf1a61ade51dd3aaacddfda25b4c839f5f4f8a4b1aed081ef686ebcba96,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0014,57492d942827c16b5489ff394c7367ce8e29675ff09f3a31792182aaff0ebb52,d52445aea3194a54f4f24891c16e46fc2ce8630670fde4dde8188a903109d89d,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0015,3c2cc2646c02bf161ec9f5504ffff4f6a0dca5184f93a903130c9a923ae19f5f,29de63a24d0738b623a5b5122716e1d75b36277cf09497c3546ca4f4328ffe14,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0016,b8c0046895d828098b247c4bce906916fd77ebb1359a4193031cd7007e888bb5,342d5cc6d2c2ac5cc9683a97bbf1d89db0a20c390bcadc261751b82e5aaac7bd,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0017,43e72dadf79ff05ef2bddc241b567ddb9952d1d4d2b93f083e217ab446b431ed,901fc1f508fc29f2e59d10ffa7b6d27baaafd5c4cda7971df77c017ef7b6e7f7,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0018,4837590d8dd19982da5a77c17c6e7b025dcf34537d9d52e03a3137e959c14d34,e1713c574237e135719c76e220d2113a87c7b24f85bdfd7863a0dbace1f4bfc0,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0019,4d7ce55a4ff773f31ff99a7cc520e6c65fb9dce415cce83f176a9709f1ee5e1b,55f537dd28453048009cab5dba3d4549fa7e8c9fb403ae03b251a7de04c293fe,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
r0020,0d5d8a481adb861a2d2f5e5f9df1d09915e40c092a94267199a6bbeeaa4fde25,a5e7ee3823b088dd7708fffd3b3f5cbb11e68ed7f687776fcaa2b6488445c112,true,true,true,true,true,true,true,true,true,true,true,true,1158,14,true
