row_id,source_row_sha256,checkpoint_alias,selection_index,selection_basis,historical_stratum,historical_stratum_reproduced,prefix_token_count,prefix_sha256,incremental_replica_exact,prefill_replica_exact,functional_state_equal,boundary_argmax_equal,all_storage_disjoint,all_48_layer_pairs_transplanted,incremental_native_suffix_sha256,prefill_native_suffix_sha256,incremental_cache_into_prefill_suffix_sha256,prefill_cache_into_incremental_suffix_sha256,baseline_divergent,incremental_cache_into_prefill_recovers_donor,prefill_cache_into_incremental_recovers_donor,bidirectional_donor_recovery,exact_control_novel_trajectory,integrity_pass
r0169,37461a4da76c8c7735780ca886b18d0d8c430e0bcc7f147946187dba7970443e,C1,0,outcome_blind_length_and_identifier,not_used,true,1025,8d9e58fc5b71c44fd176606882451fb5a0b76bae4ec6ed1ff6d7049dc82bd8e2,true,true,true,true,true,true,e39f57ab0b6fd72edd12100127ed6dc6db23fa469ab55c5b44f8bf5789ac908f,b4afb31a9f6ccc552007665da313d8a59aaa3da1252217adbe3828187c95497f,e39f57ab0b6fd72edd12100127ed6dc6db23fa469ab55c5b44f8bf5789ac908f,b4afb31a9f6ccc552007665da313d8a59aaa3da1252217adbe3828187c95497f,true,true,true,true,false,true
r0179,2c07c5c3296faed74a11b9a27f0292f8f24366e5318a8f5839dfe48f5b588cf1,C1,1,outcome_blind_length_and_identifier,not_used,true,1237,252ad8464e172421da634ae5dbc10aeb4552a60b9c8ca1da7fc5ed126858b9d8,true,true,true,true,true,true,3ba74de25d80840b57e9a322a855cf2ba25ce1fb409c54a1d2d299b1a34d4774,247446721480e862a3d0ca64f4128199e508a8ef0d06c380e1b407c120f54825,3ba74de25d80840b57e9a322a855cf2ba25ce1fb409c54a1d2d299b1a34d4774,247446721480e862a3d0ca64f4128199e508a8ef0d06c380e1b407c120f54825,true,true,true,true,false,true
r0070,fb49fdb2945f1c9b1a84a82ef715cc92fa9ef0e96b3686de5da6399afa382935,C1,2,outcome_blind_length_and_identifier,not_used,true,1366,98812ab59256e63a5e0338fa43809a8f0c14a1eb9e05482870f6ac52a91bd316,true,true,true,true,true,true,c6fed328b84a5e1d0593754e3116ba31024ee60a5a5af21942c339135d3d26bd,9c03c39a55dd0ceef7c4a4910a14c051af548bc16582f288364c82accca0a172,c6fed328b84a5e1d0593754e3116ba31024ee60a5a5af21942c339135d3d26bd,9c03c39a55dd0ceef7c4a4910a14c051af548bc16582f288364c82accca0a172,true,true,true,true,false,true
r0141,b9394bb32b6b0038bb325e041eb8226f08d1e7edb3aea8196531450daa1471cd,C1,3,outcome_blind_length_and_identifier,not_used,true,1436,ed2e6e6dcd8d2e5df08f0cab16ea81c423f8bfe2c781f9f76e413bcc3d76489c,true,true,true,true,true,true,442c1141ac386e1a13d1ffd5fd56f7cf2d19c1ba3dad70dc6a099a3057ebe74e,373e098f33c116c0d4915d5607e60a55642f46003a1490db08ecb18e1dcaecc7,442c1141ac386e1a13d1ffd5fd56f7cf2d19c1ba3dad70dc6a099a3057ebe74e,373e098f33c116c0d4915d5607e60a55642f46003a1490db08ecb18e1dcaecc7,true,true,true,true,false,true
r0006,efa5a5f6a3d2f2bef486f75cff19e8bef1a69d4b808711261cc690fe087ab48a,C1,4,outcome_blind_length_and_identifier,not_used,true,1490,f9433e6f28fd432d4bbcb81843d478538d3924f71b79ee4be6f4c602f302d997,true,true,true,true,true,true,edb5693421fff5e4df2f72e5815a9267080440cb67468d6358380b64476d1f83,6b84dad1f6ee7394ea3fd65a012065bfdaf25eb419be7470d798474d19ebe5eb,edb5693421fff5e4df2f72e5815a9267080440cb67468d6358380b64476d1f83,6b84dad1f6ee7394ea3fd65a012065bfdaf25eb419be7470d798474d19ebe5eb,true,true,true,true,false,true
r0103,3eab7e441b7cb0d69e4d457bd3b2c3f50d9201ed4b70b53bd5e28cd6a7fd2f2c,C1,5,outcome_blind_length_and_identifier,not_used,true,1575,4ee57d15806509bd03e6af9860e5a57e91ea9660c27364aa92384046e75a1331,true,true,true,true,true,true,58bf437b9e8975f0453acb6e88324dab43e7f83c179d00b80ce7ae29cf25800f,58bf437b9e8975f0453acb6e88324dab43e7f83c179d00b80ce7ae29cf25800f,58bf437b9e8975f0453acb6e88324dab43e7f83c179d00b80ce7ae29cf25800f,58bf437b9e8975f0453acb6e88324dab43e7f83c179d00b80ce7ae29cf25800f,false,true,true,true,false,true
r0171,4ff2a7639e6ba22481ec8f66ae76f4fa70cb2a8979db12893891f6e91314da47,C1,6,outcome_blind_length_and_identifier,not_used,true,1602,767cd5ccd4a15600dd1125898db17379bb7fd019643439288f77689bbee3b559,true,true,true,true,true,true,bdd14fc9c8f7786a605a5bd4c79421158549bd553c70027aa96ad5f039bd066f,823a2f8e148dca7ee503c8aab3637a6b74d5d3c11d5a790387960955eb71a893,bdd14fc9c8f7786a605a5bd4c79421158549bd553c70027aa96ad5f039bd066f,823a2f8e148dca7ee503c8aab3637a6b74d5d3c11d5a790387960955eb71a893,true,true,true,true,false,true
r0019,d2d68cd9e140008cd99c4e993d54d6e62aa8a1685b10703b0171cd29505a3739,C1,7,outcome_blind_length_and_identifier,not_used,true,1680,dd74c370c6dea9238b454a7773b520e640bed66f58fbbae36fe6eeeca0340c43,true,true,true,true,true,true,173b08e6b534aca68f5f8e00cce12737e688b28bf4ebdb264ac5b46da279bc9a,34675b7fca00891e49ffebfa6ce26ca78653d318a15e8be1825dc9b7988f108e,173b08e6b534aca68f5f8e00cce12737e688b28bf4ebdb264ac5b46da279bc9a,34675b7fca00891e49ffebfa6ce26ca78653d318a15e8be1825dc9b7988f108e,true,true,true,true,false,true
r0007,7e95746b41ecfc48071127ec0c08ab7e8637f29b970672073b38752df391aae1,C1,8,outcome_blind_length_and_identifier,not_used,true,1717,9f9e36b28620d064400f54e50409b1d134c0cf4af63cbcb1a956288e1acc85e5,true,true,true,true,true,true,4cee3891215b5d949c8a2058366a30f994ff0abc5fc0d297d01bba3134f4a2a4,a2cf07de3b122fa25bcb26f6fa58a8ddd66f306687cba88d6234cac10922ccf1,4cee3891215b5d949c8a2058366a30f994ff0abc5fc0d297d01bba3134f4a2a4,a2cf07de3b122fa25bcb26f6fa58a8ddd66f306687cba88d6234cac10922ccf1,true,true,true,true,false,true
r0149,74d644d58f51e0c67c0e52ed25e129e441063fd11bbd49f228224630d7fe399f,C1,9,outcome_blind_length_and_identifier,not_used,true,1758,34c5c8651ab75323bdd20ca043cc6d34e9602095d868207917125719201b9b68,true,true,true,true,true,true,ae0c3c7e86243c692de4926aec0ac5d520d0a1ebd81b335a208b4fc1091f6e7d,45fa0b504935cad0162a893bbec3f843de2fe483201a5ff333725f8f1d75a219,ae0c3c7e86243c692de4926aec0ac5d520d0a1ebd81b335a208b4fc1091f6e7d,45fa0b504935cad0162a893bbec3f843de2fe483201a5ff333725f8f1d75a219,true,true,true,true,false,true
r0060,45b07216e1a6c34b4540bbae3e95b9692f4f5e05bc20f8e58476fd7c956267c9,C1,10,outcome_blind_length_and_identifier,not_used,true,1813,b3bf521a14fa04541d3e0bfb2fa65abd1ebeedcb34a5fb357f11353548bea509,true,true,true,true,true,true,1cf3922cb8dd4a59884e4ddad50c66c0e38aec9f31b2cb3e9007d31dfaa1126b,51dd80e132e62fd2fdb313c1d1d717e056f80638b0d84c698a972a59f4265376,1cf3922cb8dd4a59884e4ddad50c66c0e38aec9f31b2cb3e9007d31dfaa1126b,51dd80e132e62fd2fdb313c1d1d717e056f80638b0d84c698a972a59f4265376,true,true,true,true,false,true
r0050,1eff94e79d3891eb63c979cfa64187040b221397ffdbdf00c7924e0cce7d52fb,C1,11,outcome_blind_length_and_identifier,not_used,true,1843,feee1ba20207a30651034899f61c30b1f8a5a63c3858b771ce48c362ba0ace8d,true,true,true,true,true,true,dd77e58a2418c2d76ffa156a54685071dba0ebbb2c0e194afb3d456d9fe9f546,c0e189451e0a108d85d26b649582800e79738d77b77b0f0538e283fa5d38fe29,dd77e58a2418c2d76ffa156a54685071dba0ebbb2c0e194afb3d456d9fe9f546,c0e189451e0a108d85d26b649582800e79738d77b77b0f0538e283fa5d38fe29,true,true,true,true,false,true
r0001,45e6126192308db7c61f6c8e4098b4ec17dbea13fa96333701d87eada538fa12,C1,12,outcome_blind_length_and_identifier,not_used,true,1893,00e6fcd533bf2f5e6a5cfc1c5b75e8a6e8aabf8a8e944da7e62321b56dd823f9,true,true,true,true,true,true,b2b89a8aa03c5bddb2b1e52f6e335809c79dcc5a51816920cb0333a1ee26d3b8,b04d5f4e4220452a9b0b675b21145be9d75c112d3ee1e1e1d4f8b02f4e2a11ee,b2b89a8aa03c5bddb2b1e52f6e335809c79dcc5a51816920cb0333a1ee26d3b8,b04d5f4e4220452a9b0b675b21145be9d75c112d3ee1e1e1d4f8b02f4e2a11ee,true,true,true,true,false,true
