row_id,source_row_sha256,selection_index,new_prefix_token_count,new_prefix_sha256,historical_prefix_token_count,historical_prefix_sha256,live_matches_historical_prefix,boundary_cache_sequence_len,post_decode_cache_sequence_len,live_clone_cache_exact,live_clone_logits_exact,teacher_clone_cache_exact,teacher_clone_logits_exact,functional_state_equal,all_storage_disjoint,live_teacher_cache_exact,live_teacher_logits_exact,boundary_argmax_equal,live_suffix_sha256,teacher_suffix_sha256,live_teacher_suffix_exact,all_48_layers_exact,integrity_pass
r0169,6a656b7a35cd83bc3ad209b8aad85d1973c16fff108e17a1a303b93d2889ba1d,0,1463,8f18fc4a9400c1ebb860f68bb990e143b5f9b3934d1d8f96f44b81ff6368b0ce,1025,8d9e58fc5b71c44fd176606882451fb5a0b76bae4ec6ed1ff6d7049dc82bd8e2,false,1463,1735,true,true,true,true,true,true,true,true,true,9b1bdd2bc5edbfed965ab00fc9197e0c2e2df21368325e3e66121ce7fb265a21,9b1bdd2bc5edbfed965ab00fc9197e0c2e2df21368325e3e66121ce7fb265a21,true,true,true
r0055,f5389247afeaf851944d48a3ed84cc98f71f0f4a4c764abe71680eb3aff9489b,1,1661,70602d90d7205bd37b1d0db88a8bd32117c35322b6663760a5c4604849a14643,1540,24bfc3d0de63d394e2f698ed8dee540636f3e6fe3a55ead3cc328df555d92f61,false,1661,1858,true,true,true,true,true,true,true,true,true,9ba075dca716e77867792119f34eee5d7d615febf7fb7d2aa337ec72f59c5ef0,9ba075dca716e77867792119f34eee5d7d615febf7fb7d2aa337ec72f59c5ef0,true,true,true
r0091,06c91169eb337ff85b9cc0bd3eb8ef26fc30abd66c5842c3e9c5a552efbb46a0,2,1747,4165584b44910955aef0b50606ef7eb17127b0d5c3fe7dcdd9452180b1d523fc,1747,bffdd316c8e139a528eb395450d21995daccfc6e4f03dd829eec26d18c45b447,false,1747,1919,true,true,true,true,true,true,true,true,true,38f936ccca7b628179ccfec2169d44da91c4c01817ccacc015edb18f510a4cbf,38f936ccca7b628179ccfec2169d44da91c4c01817ccacc015edb18f510a4cbf,true,true,true
r0144,746118b21adb44a1211a5b9e2160252e081699e68077866ff20276e55c4f30a5,3,1709,43c8cf7b236ec4b45d143a95ca755808122798951fc709049c23f73177c99263,1938,490d312325a074d5ecfea7da4d49832a8d259b8de19d5896adfc4b6aaf6be546,false,1709,1810,true,true,true,true,true,true,true,true,true,7b7addaad543729378b5aaa91d19cdddbcf5df39660054d32a5973c8bd67b634,7b7addaad543729378b5aaa91d19cdddbcf5df39660054d32a5973c8bd67b634,true,true,true
r0165,5bc83f98891115f1458fac30f7e44baff7dc62f75da77d93bed0b12cc4bfb77a,4,1952,a9de96a353486fc5246ba770a2faab32959cdc92eea4c4ec13b76885da61018a,2027,2696d5173d3cf880f76fb64a795fc5541e4399293c4f49b67bf14d62697bb57b,false,1952,2219,true,true,true,true,true,true,true,true,true,00bbff3e4a9f4b40107cc4c2c4d2e9cdef6b3fc28f87a75fa6d4ca6784596198,00bbff3e4a9f4b40107cc4c2c4d2e9cdef6b3fc28f87a75fa6d4ca6784596198,true,true,true
r0085,4b46684849f872f8fd5db11202d72c6ebda845324df2d2818eff82292724f306,5,2102,15483e3f5c9463d94c803e05ac16810ffc44b54346c37966a8d0c7a23a6f4fb2,2076,2dcf0007a43702f17dbdae507d63474f5e83a2c7466d1541fb1460979c524f57,false,2102,2618,true,true,true,true,true,true,true,true,true,df6c0c51aef11466cc8bde46cc4be10be1e343fcedbcc12c32a3f4f4c9cf2773,df6c0c51aef11466cc8bde46cc4be10be1e343fcedbcc12c32a3f4f4c9cf2773,true,true,true
r0039,1bf3d9e8937d8f71cb0ac16d35a749479cd78b1f3d92d92009e27d9baa7b6d96,6,2265,4bc0c03078d2ddc0548236744aec22b45bb01a43c8c2343f3f52390f9cb4e0de,2133,6396389e3cece7a02604a21d21e2fc642550d4013cac561560a79ab1fed1fb12,false,2265,2806,true,true,true,true,true,true,true,true,true,d64e1fb055ee1ff24a885c81e269b274790210b92d6dacfb42ae5b599c994f01,d64e1fb055ee1ff24a885c81e269b274790210b92d6dacfb42ae5b599c994f01,true,true,true
r0176,83fc984f5bd3c744f0318605a0c2bd041975af474c26ae1777d3f7190bd3350e,7,2175,19c7ef0e6df1e1c82afef39772b90180081a150b9b5eb7ff83cef2073a9930cc,2194,a43918b806c3cedd53e8b1adbb3e63d772ddffd219e46a1cfc7f181811cea6ab,false,2175,2382,true,true,true,true,true,true,true,true,true,636f0fb108d21cc1aa58cc88b40dc8a3f2ac6a06065f46c4bf865c45119329ab,636f0fb108d21cc1aa58cc88b40dc8a3f2ac6a06065f46c4bf865c45119329ab,true,true,true
r0099,883c4ae338fc6739ebfd5ef5b8fe611cfdf57a12e2628da41cc4a1ba057dfeb8,8,2173,99a64db8c798d21945060c3653523e53cb34cf30496a128a731a3276e644ba0b,2244,bd375d6d834f74623aa064aaa7194775d037c17c631fc9446750e7517f5e9a7e,false,2173,2294,true,true,true,true,true,true,true,true,true,b5580a5d88f3af4b76b36f505ef84daef63dcca4ce273cfba6a32ff1f37eafc5,b5580a5d88f3af4b76b36f505ef84daef63dcca4ce273cfba6a32ff1f37eafc5,true,true,true
r0108,3cf4acde26b534f82f2900f7fa2e3793fbbcff33a5ddaaa11b8eff0c1f4c30c4,9,2253,f1e07005deeb07e8438c708075090ac07e4956b9f1892d193938fb6be10ee7a4,2329,cf3a5761954f80bed54d977d8800d95ea98054e2006f5da27885ef855b1a01f3,false,2253,2768,true,true,true,true,true,true,true,true,true,d3534c37657d1cc2e01f0e7ffb41c522bea0cb92799fef4ee912d0618b8d1f6b,d3534c37657d1cc2e01f0e7ffb41c522bea0cb92799fef4ee912d0618b8d1f6b,true,true,true
