row_id,source_row_sha256,precision,prefix_token_count,prefix_sha256,live_replica_cache_exact,live_replica_logits_exact,live_replica_suffix_exact,prefill_replica_cache_exact,prefill_replica_logits_exact,prefill_replica_suffix_exact,functional_state_equal,all_storage_disjoint,live_prefill_cache_exact,cache_max_abs_diff,cache_mean_abs_diff,live_prefill_logits_exact,logit_max_abs_diff,logit_mean_abs_diff,boundary_argmax_equal,live_suffix_sha256,live_replica_suffix_sha256,prefill_suffix_sha256,prefill_replica_suffix_sha256,suffix_equal,first_suffix_divergence_index,trace_equal,merge_equal,answer_equal,live_correct,prefill_correct,integrity_pass
r0000,3c5902c5e403909f24d801458c760d1e603575c0e2bce77444e3c4c777f7364b,bf16,2260,789182f0b36136507d7ffd765c503ab103b6e5d416686149e99e32c6066a29b7,true,true,true,true,true,true,true,true,false,9.5234375,0.007133257799602129,false,0.46484375,0.07751672714948654,true,e567b56c0c7e1cb7ab48e32c02a4f444b3c3e34e625c76081dbe7fd40d765a32,e567b56c0c7e1cb7ab48e32c02a4f444b3c3e34e625c76081dbe7fd40d765a32,846265941e81e5154ddeedde5568b8bde28e6b4fe7fb7a6cbb8dc5cfdd04b90d,846265941e81e5154ddeedde5568b8bde28e6b4fe7fb7a6cbb8dc5cfdd04b90d,false,145,false,false,false,false,false,true
r0001,cde77d714b425d298505645aef8ce74a903431184d7b28551cd3bc166d83d175,bf16,1893,00e6fcd533bf2f5e6a5cfc1c5b75e8a6e8aabf8a8e944da7e62321b56dd823f9,true,true,true,true,true,true,true,true,false,3.328125,0.007367398305617575,false,0.4453125,0.06806142628192902,true,7c48186f66c773e541f66dd9628de4c087c8ee6ba278241bce514275a84b5da0,7c48186f66c773e541f66dd9628de4c087c8ee6ba278241bce514275a84b5da0,f95e85d38d0d63b3d6c867a349436a9bbe27383ffcfdca41970d705883a1d10d,f95e85d38d0d63b3d6c867a349436a9bbe27383ffcfdca41970d705883a1d10d,false,55,false,false,true,false,false,true
r0002,7ea446152dfb268b5d99fc99ed7aa821098d697926ed32838d9effa928f227de,bf16,1868,40cee7b5feb09a16b27f7941716068daaf3f8064fa762cb0ec9a8b0700ca56cb,true,true,true,true,true,true,true,true,false,1.34375,0.005767389809984073,false,0.4453125,0.06682410836219788,true,2d97cd2535b0e8d1cc99e829f0363a57fbeed21c4ae4dc856dd44c82506effe3,2d97cd2535b0e8d1cc99e829f0363a57fbeed21c4ae4dc856dd44c82506effe3,2d97cd2535b0e8d1cc99e829f0363a57fbeed21c4ae4dc856dd44c82506effe3,2d97cd2535b0e8d1cc99e829f0363a57fbeed21c4ae4dc856dd44c82506effe3,true,,true,true,true,true,true,true
r0003,751b7659d4a7cdd4378b07163e26ae293ede411517263335a83dc69c803bfbfe,bf16,2395,02c4e97781ca8f9c9171761b1063c27b36dda676b25a89274880b3d1e99bec9a,true,true,true,true,true,true,true,true,false,4.9453125,0.007264950526759159,false,0.4541015625,0.07446131855249405,true,3cba24f434d6ab8d5a96890deacaf9894e7affc23d8813fe929e49762dc37624,3cba24f434d6ab8d5a96890deacaf9894e7affc23d8813fe929e49762dc37624,8308a017a6fcad569cd9509f181b8eaa45f3c46ee69ab6ee5c0b1b2c06f675c5,8308a017a6fcad569cd9509f181b8eaa45f3c46ee69ab6ee5c0b1b2c06f675c5,false,357,false,false,true,true,true,true
r0004,e737ce6dcc201ef2918cf51e9efa162046797f1f4366334b81ced89595ead950,bf16,2221,b3a52d3599f98343e578d4f138a33b2e6a00bb768e48c8deaeff3712fa8bfcf6,true,true,true,true,true,true,true,true,false,6.390625,0.00928443195041867,false,0.4375,0.07040228694677353,true,09a6c0c4d970dc3d8d3c2029346dd598697b8fcb598fe19f794acb687a2321df,09a6c0c4d970dc3d8d3c2029346dd598697b8fcb598fe19f794acb687a2321df,4d9156fa90d867da434f62f2f31836f8a83dc9a1692d06926992d007690e0dc2,4d9156fa90d867da434f62f2f31836f8a83dc9a1692d06926992d007690e0dc2,false,28,false,false,false,false,false,true
r0005,fe7a48ac4b1afe66d86a511249f804d7ae4f9a11acea9858cf8d1adc16298145,bf16,2097,102e4f039b0b0d2dfda1176359ddbccd7d50801f4c9e504ed35253c77c39d1b7,true,true,true,true,true,true,true,true,false,3.390625,0.008391078430864063,false,0.48046875,0.07191542536020279,true,e118e6e1a06dc1581bc1210395ae1d453718594d8243b56e5d67dd5a43d83bb2,e118e6e1a06dc1581bc1210395ae1d453718594d8243b56e5d67dd5a43d83bb2,abb125c58f4c604224b8ddf608f58b474bd2a295f238adf0c5602eca23ec914c,abb125c58f4c604224b8ddf608f58b474bd2a295f238adf0c5602eca23ec914c,false,53,false,false,true,true,true,true
r0006,d25bfd94417fc6b0886e9a824035d88131f1e25b9595a7d4722663938175ead8,bf16,1490,f9433e6f28fd432d4bbcb81843d478538d3924f71b79ee4be6f4c602f302d997,true,true,true,true,true,true,true,true,false,1.99609375,0.006741466618966833,false,0.4765625,0.06704205274581909,true,a1913073692b006c220cd630648366e331c8168cc46b5fd8b88d034c4ca4e554,a1913073692b006c220cd630648366e331c8168cc46b5fd8b88d034c4ca4e554,dd18fac71d3815bc2082ea9e3da9d594d096789e13c380f089ce21221d16cb93,dd18fac71d3815bc2082ea9e3da9d594d096789e13c380f089ce21221d16cb93,false,67,false,false,false,false,false,true
r0007,f20eda1c4a590a7b0f51e93a1661d612848a2993f3bb251ce4df9f6d11e6e3f0,bf16,1717,9f9e36b28620d064400f54e50409b1d134c0cf4af63cbcb1a956288e1acc85e5,true,true,true,true,true,true,true,true,false,12.09375,0.014038527677714994,false,0.5,0.07774148881435394,true,274a8cf111070760149e0a1de9ed0e8c9d8056fc10ca22de5600e34e30c260bf,274a8cf111070760149e0a1de9ed0e8c9d8056fc10ca22de5600e34e30c260bf,d736cda5bcf3a257ab5f039a2b41f7ac31311852be748a0a101766d1d90d49a2,d736cda5bcf3a257ab5f039a2b41f7ac31311852be748a0a101766d1d90d49a2,false,58,false,false,true,false,false,true
r0008,267d0d2ae7f88af905a0da1bbc6bf5885604a93883311aac31135a69849e7156,bf16,2075,21c2e4002662c0bb2cc0b6a68b242dc7975d9749a8eec6fc7b247d8c10f28511,true,true,true,true,true,true,true,true,false,14.921875,0.007770919253284242,false,0.453125,0.07241081446409225,true,96cf182fcad05c3a8ec0c887e709645ba5f437c80f49bb6ace24d94cf141741e,96cf182fcad05c3a8ec0c887e709645ba5f437c80f49bb6ace24d94cf141741e,d1bd4298844bca2ad6dc948b78a4f84448f98ca25b3e0f7bdae516b05c0cd14a,d1bd4298844bca2ad6dc948b78a4f84448f98ca25b3e0f7bdae516b05c0cd14a,false,13,false,false,true,false,false,true
r0009,8a4930c29b5326e777724386a12fe4fb47b9952d38993ac50fed00df4fdf89fe,bf16,2040,85bb3a36eecf8917155298532a0054160aaa4095f80c0d5e09eb58e0c7b732e8,true,true,true,true,true,true,true,true,false,4.01953125,0.00807703910567544,false,0.484375,0.07041483372449875,true,4a207dae646394980e5f0822977086777bb59bb2944e967ebc73c8c5abd005ca,4a207dae646394980e5f0822977086777bb59bb2944e967ebc73c8c5abd005ca,e302900736d4e6f06e4c1e9bcbcd991ed27cd75294bd1b39f3bfb29b4da3ee42,e302900736d4e6f06e4c1e9bcbcd991ed27cd75294bd1b39f3bfb29b4da3ee42,false,176,false,false,false,true,true,true
